uniprot,protein_family,subcellular_raw,pfam,go,keywords
P9WIB5,Bacterial phospholipase C family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:20736081}. Note=Remains associated with the cell. {ECO:0000269|PubMed:11050656, ECO:0000269|PubMed:20736081, ECO:0000269|PubMed:8757862}.",PF04185;,GO:0004629; GO:0004767; GO:0034480; GO:0052008,Cell wall;Hydrolase;Reference proteome;Secreted;Signal;Virulence
P9WIE5,"Peroxidase family, Peroxidase/catalase subfamily",,PF00141;,GO:0004096; GO:0004601; GO:0005576; GO:0005829; GO:0005886; GO:0006979; GO:0009274; GO:0016677; GO:0020037; GO:0042744; GO:0045739; GO:0046677; GO:0046872; GO:0070301; GO:0070402; GO:0070404,3D-structure;Antibiotic resistance;Heme;Hydrogen peroxide;Iron;Metal-binding;Organic radical;Oxidoreductase;Peroxidase;Reference proteome;Virulence
P9WIM9,,,PF10738;,GO:0005576,3D-structure;Reference proteome;Signal
P9WIN9,RsiV family,SUBCELLULAR LOCATION: Secreted.,PF11738;,GO:0005576; GO:0009267; GO:0009274; GO:0035375,3D-structure;Direct protein sequencing;Reference proteome;Secreted;Signal
P9WIP1,,SUBCELLULAR LOCATION: Secreted.,PF09167;,GO:0005576; GO:0005615; GO:0009274,3D-structure;Direct protein sequencing;Reference proteome;Secreted;Signal
P9WIP9,,SUBCELLULAR LOCATION: Cell surface.,,GO:0005829; GO:0005886; GO:0007157; GO:0008201; GO:0009274; GO:0009986; GO:0042802; GO:0044651,Cell adhesion;Direct protein sequencing;Glycoprotein;Hemagglutinin;Heparin-binding;Reference proteome;Virulence
P9WIR7,Apa family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10531201}. Cell surface {ECO:0000269|PubMed:25359607}.,PF07174;,GO:0005576; GO:0009267; GO:0009986; GO:0050840,3D-structure;Direct protein sequencing;Glycoprotein;Reference proteome;Repeat;Secreted;Signal
P9WJA3,,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18640126}. Note=Not seen to be associated with the cell wall.,PF00571;,GO:0001666; GO:0005576; GO:0005829; GO:0005886; GO:0009274; GO:0046872; GO:0052553,3D-structure;CBS domain;Disulfide bond;Metal-binding;Reference proteome;Repeat;Secreted;Zinc
P9WJA9,,,PF00498;,GO:0003729; GO:0005576; GO:0005886; GO:0009274; GO:0042802; GO:0043457; GO:0045820; GO:0140678,3D-structure;Acetylation;Direct protein sequencing;Phosphoprotein;Reference proteome
P9WJC1,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:17676952}.,PF27215;,GO:0005829; GO:0005886,3D-structure;Cytoplasm;Reference proteome
P9WJC3,,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26228622}.,,GO:0005576,Phosphoprotein;Reference proteome;Secreted;Virulence
P9WJD3,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}. Note=Localizes at or near the cell pole in (on average) 1 discrete spot upon overexpression in M.smegmatis (PubMed:22233444). {ECO:0000269|PubMed:22233444}.,PF18879;,GO:0005886; GO:0051701,Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P9WJD9,EspB family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17676952, ECO:0000269|PubMed:23869560}. Note=Secreted via the ESX-1 / type VII secretion system (T7SS) (PubMed:17676952). Secretion requires both EspK and EccCb1, but not EspA, EspC and EspD (PubMed:17676952, PubMed:23869560). {ECO:0000269|PubMed:17676952, ECO:0000269|PubMed:23869560}.",PF18625;PF21856;,GO:0005576; GO:0042802; GO:0044315; GO:0051701; GO:0140321,3D-structure;Acetylation;Direct protein sequencing;Reference proteome;Secreted;Virulence
P9WJE1,,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16030141, ECO:0000269|PubMed:20585630, ECO:0000269|PubMed:22155774}. Note=Secreted via the ESX-1 / type VII secretion system (T7SS) (PubMed:16030141). Secretion of EspA, EsxA and EsxB is mutually dependent (PubMed:16030141). {ECO:0000269|PubMed:16030141}.",PF18879;,GO:0005576; GO:0005615; GO:0005886; GO:0044315; GO:0051701; GO:0071766,Disulfide bond;Reference proteome;Secreted;Virulence
P9WJQ9,MobA family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00316}.,PF12804;,GO:0005525; GO:0005737; GO:0005886; GO:0006777; GO:0016779; GO:0046872; GO:0061603,Cytoplasm;GTP-binding;Magnesium;Metal-binding;Molybdenum cofactor biosynthesis;Nucleotide-binding;Reference proteome;Transferase
P9WJW7,Major facilitator superfamily,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PF07690;,GO:0005576; GO:0005886; GO:0022857,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P9WK17,"Malate synthase family, GlcB subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00641}.,PF20659;PF20656;PF01274;PF20658;,GO:0000287; GO:0001968; GO:0004474; GO:0005576; GO:0005737; GO:0005829; GO:0005886; GO:0006097; GO:0006099; GO:0009274; GO:0009436; GO:0009986; GO:0015936; GO:0042603; GO:0042803; GO:0043236; GO:0044406; GO:0046810; GO:0120225,3D-structure;Cytoplasm;Glyoxylate bypass;Magnesium;Metal-binding;Oxidation;Reference proteome;Transferase;Tricarboxylic acid cycle
P9WK31,LysE/ArgO transporter (TC 2.A.75) family,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,PF01810;,GO:0005886; GO:0006865; GO:0015171,Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P9WK61,Mycobacterial 19 kDa antigen family,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25041568, ECO:0000305}; Lipid-anchor {ECO:0000305|PubMed:1906192}. Secreted, cell wall {ECO:0000269|PubMed:10426995, ECO:0000269|PubMed:16098710}. Cell surface {ECO:0000269|PubMed:25041568, ECO:0000269|PubMed:25359607}. Secreted {ECO:0000269|PubMed:16098710, ECO:0000305|PubMed:1906192}. Extracellular vesicle, bacterial extracellular vesicle {ECO:0000269|PubMed:21364279}. Host cytoplasm {ECO:0000269|PubMed:11123323}. Note=A soluble cell wall-associated protein (PubMed:10426995). Also found in culture filtrate in increasing quantities during growth (PubMed:16098710, PubMed:1906192). Following infection of mouse macrophage cell line J774A.1 with live (but not heat-killed) bacteria the protein is released in host cytoplasm at 1 hr but decreases dramatically by 3 hrs: release into the host requires protein lipidation and traffics from the immature phagosome through the host class I MHC antigen peptide presentation pathway (PubMed:11123323). Present in bacterial extracytoplasmic vesicles, both in mouse macrophages and in culture media (PubMed:21364279). Immunoelectron microscopy indicates this protein is close to the cell surface (PubMed:25041568). {ECO:0000269|PubMed:10426995, ECO:0000269|PubMed:11123323, ECO:0000269|PubMed:16098710, ECO:0000269|PubMed:1906192, ECO:0000269|PubMed:21364279, ECO:0000269|PubMed:25041568}.",PF05481;,GO:0005886; GO:0009274; GO:0009986; GO:0030430; GO:0042742; GO:0046789; GO:0051701; GO:0052553; GO:0097691,3D-structure;Cell membrane;Cell wall;Disulfide bond;Glycoprotein;Host cytoplasm;Lipoprotein;Membrane;Palmitate;Reference proteome;Secreted;Signal;Transport;Virulence
P9WK79,Mycobacteriales LppA/LppB family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,PF16708;,GO:0005576; GO:0005886,Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P9WKH9,,,PF13276;PF00665;,GO:0003677; GO:0005886; GO:0006310; GO:0015074; GO:0032196,DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition
P9WKL1,Isocitrate and isopropylmalate dehydrogenases family,,PF00180;,GO:0000287; GO:0004450; GO:0005886; GO:0006097; GO:0006099; GO:0006102; GO:0008270; GO:0051287,3D-structure;Acetylation;Glyoxylate bypass;Magnesium;Manganese;Metal-binding;NADP;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle
P9WL51,,,,,Reference proteome
P9WL63,,,PF18844;,GO:0001666; GO:0005829; GO:0005886; GO:0009274,3D-structure;Coiled coil;Direct protein sequencing;Reference proteome
P9WL75,YajC family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.,PF02699;,GO:0005886; GO:0015031,Cell membrane;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport
P9WLS9,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PF27099;,GO:0005886,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P9WMF9,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: Host cytoplasmic vesicle, host phagosome {ECO:0000269|PubMed:10970762}. Note=(Microbial infection) In human monocytes after in vitro infection (PubMed:10970762). {ECO:0000269|PubMed:10970762}.",PF00196;PF00072;,GO:0000160; GO:0000976; GO:0001666; GO:0003677; GO:0003700; GO:0005615; GO:0005829; GO:0005886; GO:0006351; GO:0006355; GO:0009274; GO:0022611; GO:0044161; GO:0045893; GO:0072493,3D-structure;Activator;Cytoplasm;DNA-binding;Host cytoplasmic vesicle;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
P9WMJ9,Heat shock protein 70 family,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Secreted, capsule {ECO:0000269|PubMed:19470749}. Cell surface {ECO:0000269|PubMed:19470749}. Extracellular vesicle, bacterial extracellular vesicle {ECO:0000269|PubMed:21364279}. Note=Although thought of as a cytoplasmic chaperone this protein is routinely found extracellularly in the absence of cell lysis (PubMed:19470749). Present in extracytoplasmic vesicles (PubMed:21364279). {ECO:0000269|PubMed:19470749, ECO:0000269|PubMed:21364279}.",PF00012;,GO:0001968; GO:0005524; GO:0005576; GO:0005829; GO:0005886; GO:0006457; GO:0009274; GO:0009408; GO:0009986; GO:0010756; GO:0016887; GO:0031072; GO:0035375; GO:0042026; GO:0042603; GO:0044183; GO:0046677; GO:0046688; GO:0051082; GO:0071451; GO:0097691,3D-structure;ATP-binding;Chaperone;Cytoplasm;Nucleotide-binding;Phosphoprotein;Reference proteome;Secreted;Stress response
P9WMK1,Small heat shock protein (HSP20) family,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:1563797}. Secreted, cell wall {ECO:0000269|PubMed:1563797}. Note=Probably the external side of the cell wall; the protein is very abundant in older organisms and surface coating could be the result of autolysis of older organisms.",PF00011;,GO:0001666; GO:0005829; GO:0005886; GO:0006457; GO:0009267; GO:0009274; GO:0009408; GO:0009651; GO:0010039; GO:0042542; GO:0044183; GO:0045926; GO:0051082; GO:0051259; GO:0051409; GO:0071456; GO:0075136,Cell wall;Chaperone;Cytoplasm;Direct protein sequencing;Isopeptide bond;Reference proteome;Secreted;Ubl conjugation
P9WMX7,Glycosyltransferase 2 family,,PF00535;,GO:0009247; GO:0016020; GO:0016757; GO:0016758,Glycosyltransferase;Reference proteome;Transferase
P9WN09,Glycosyltransferase 28 family,,PF06722;,GO:0005886; GO:0008194; GO:0009247; GO:0016758,Glycosyltransferase;Reference proteome;Transferase
P9WNE5,"Ferritin-like superfamily, Prokaryotic family","SUBCELLULAR LOCATION: Encapsulin nanocompartment {ECO:0000269|PubMed:24855650}. Note=Forms an approximately 12 nm shell inside the encapsulin nanocompartment, suggesting the latter encapsulates the entire 24-subunit homooligomer. {ECO:0000305|PubMed:24855650}.",PF00210;,GO:0001666; GO:0004322; GO:0005576; GO:0005737; GO:0005829; GO:0005886; GO:0006826; GO:0006879; GO:0008198; GO:0008199; GO:0009274; GO:0051409; GO:0140315; GO:0140737,3D-structure;Direct protein sequencing;Encapsulin nanocompartment;Iron;Iron storage;Metal-binding;Oxidoreductase;Reference proteome;Virulence
P9WNF3,,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000305|PubMed:22567094, ECO:0000305|PubMed:8633206}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}. Secreted, cell wall {ECO:0000305|PubMed:22567094}. Secreted {ECO:0000250|UniProtKB:P0CAX7}.",PF02469;,GO:0005576; GO:0005615; GO:0005886; GO:0007155; GO:0030198; GO:0031012; GO:0050839,Cell membrane;Cell wall;Glycoprotein;Lipoprotein;Membrane;Palmitate;Reference proteome;Secreted;Signal
P9WNF5,,SUBCELLULAR LOCATION: Secreted.,PF02469;,GO:0005576; GO:0005615; GO:0007155; GO:0030198; GO:0031012; GO:0050839,3D-structure;Reference proteome;Secreted;Signal
P9WNI7,"WXG100 family, ESAT-6 subfamily","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12919853, ECO:0000269|PubMed:17443846}. Note=Probably secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000305|PubMed:19876390}.",PF06013;,GO:0005576; GO:0005886; GO:0009274,3D-structure;Reference proteome;Secreted;Virulence
P9WNJ3,"WXG100 family, ESAT-6 subfamily","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:22340629, ECO:0000269|PubMed:22925462}. Note=Secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000269|PubMed:22340629, ECO:0000269|PubMed:22925462}.",PF06013;,GO:0005576; GO:0005886; GO:0009274,Reference proteome;Secreted
P9WNK3,"WXG100 family, ESAT-6 subfamily","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24204276}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS). {ECO:0000305|PubMed:21730061, ECO:0000305|PubMed:24204276}.",PF06013;,GO:0005576; GO:0005829; GO:0046872; GO:0097013,3D-structure;Direct protein sequencing;Metal-binding;Reference proteome;Secreted;Virulence;Zinc
P9WNK5,"WXG100 family, CFP-10 subfamily","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14557536, ECO:0000269|PubMed:15378760, ECO:0000269|PubMed:16048998, ECO:0000269|PubMed:9846755}. Secreted, cell wall {ECO:0000269|PubMed:19906174}. Host cell surface {ECO:0000269|PubMed:15973432, ECO:0000269|PubMed:19265145}. Host endoplasmic reticulum {ECO:0000269|PubMed:25356553}. Note=Probably secreted via the ESX-1 / type VII secretion system (T7SS) (PubMed:19876390). Binds to CD14+ and CD19+ host (human) cells (PubMed:19265145). Localized on the cell surface of host (human) cell monocytes and macrophages (often in patches), but not fibroblasts (PubMed:15973432). Exogenous EsxA and EsxA-EsxB complex can enter host (human and mouse) endoplasmic reticulum (PubMed:25356553). {ECO:0000269|PubMed:15973432, ECO:0000269|PubMed:19265145, ECO:0000269|PubMed:19876390, ECO:0000269|PubMed:25356553}.",PF06013;,GO:0005576; GO:0005886; GO:0009274; GO:0044165; GO:0044228; GO:0044315; GO:0046812,3D-structure;Acetylation;Cell wall;Chaperone;Coiled coil;Direct protein sequencing;Host endoplasmic reticulum;Reference proteome;Secreted;Virulence
P9WNK7,"WXG100 family, ESAT-6 subfamily","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14557536, ECO:0000269|PubMed:14557547, ECO:0000269|PubMed:15378760, ECO:0000269|PubMed:16030141, ECO:0000269|PubMed:16048998, ECO:0000269|PubMed:7729876, ECO:0000269|PubMed:7897219}. Secreted, cell wall {ECO:0000269|PubMed:19906174}. Host cell surface {ECO:0000269|PubMed:15973432, ECO:0000269|PubMed:17486091, ECO:0000269|PubMed:19265145}. Host cytoplasm {ECO:0000269|PubMed:20148899}. Host endoplasmic reticulum {ECO:0000269|PubMed:25356553}. Host cell membrane {ECO:0000305|PubMed:25645924, ECO:0000305|PubMed:26801203}. Note=Probably secreted via the ESX-1 / type VII secretion system (T7SS) (PubMed:19876390). Secreted protein binds to bacterial cell wall (PubMed:19906174). Binds to host (mouse) TLR2 on the cell surface (PubMed:17486091). Binds to CD4+, CD8+, CD14+ and CD19+ host (human) cells (PubMed:19265145). Localized on the cell surface of host (human) cell monocytes and macrophages (often in patches), but not fibroblasts (PubMed:15973432). Exogenous EsxA and EsxA-EsxB complex can enter host (human and mouse) endoplasmic reticulum, where they bind beta-2-microglobulin (PubMed:25356553). At acidic pH able to form pores in artificial membranes, might form pores in host phagosome membranes in absence of EsxB, allowing escape of bacteria into the host cytoplasm (PubMed:25645924, PubMed:26801203). The central pair of alpha helices probably insert into the membrane while the N- and C-terminal arms do not, but may rest on the membrane surface as they are required for membrane insertion (PubMed:25645924). {ECO:0000269|PubMed:15973432, ECO:0000269|PubMed:17486091, ECO:0000269|PubMed:19265145, ECO:0000269|PubMed:19876390, ECO:0000269|PubMed:19906174, ECO:0000269|PubMed:25356553, ECO:0000269|PubMed:25645924, ECO:0000305|PubMed:25645924, ECO:0000305|PubMed:26801203}.",PF06013;,GO:0005576; GO:0005737; GO:0005829; GO:0005886; GO:0009274; GO:0020002; GO:0042803; GO:0044165; GO:0044228; GO:0044315; GO:0046812; GO:0052027; GO:0052085; GO:0052170,3D-structure;Acetylation;Apoptosis;Cell wall;Coiled coil;Direct protein sequencing;Host cell membrane;Host cytoplasm;Host endoplasmic reticulum;Host membrane;Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix;Virulence
P9WNU5,DNA polymerase type-A family,,PF01367;PF02739;PF00476;PF22619;,GO:0003677; GO:0003887; GO:0005886; GO:0006261; GO:0006302; GO:0008408; GO:0008409; GO:0009274,DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase
P9WP43,Cutinase family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19225166, ECO:0000269|PubMed:9673225}.",PF01083;,GO:0005576; GO:0009274; GO:0016042; GO:0016298; GO:0019626; GO:0034338; GO:0047372; GO:0051793; GO:0052651; GO:0106435,Direct protein sequencing;Disulfide bond;Hydrolase;Reference proteome;Secreted;Serine esterase;Signal;Virulence
P9WPD5,Citrate synthase family,,PF00285;,GO:0005829; GO:0005886; GO:0006099; GO:0036440,3D-structure;Allosteric enzyme;Isopeptide bond;Reference proteome;Transferase;Tricarboxylic acid cycle;Ubl conjugation
P9WPE5,GroES chaperonin family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00580}.,PF00166;,GO:0005524; GO:0005576; GO:0005829; GO:0005886; GO:0006355; GO:0006457; GO:0009274; GO:0009408; GO:0034605; GO:0035375; GO:0044183; GO:0046677; GO:0046872; GO:0051082; GO:0051087,3D-structure;Acetylation;Chaperone;Cytoplasm;Direct protein sequencing;Isopeptide bond;Reference proteome;Stress response;Ubl conjugation
P9WPE7,Chaperonin (HSP60) family,"SUBCELLULAR LOCATION: Secreted, capsule {ECO:0000269|PubMed:19470749, ECO:0000269|PubMed:20633027}. Cell surface {ECO:0000269|PubMed:19470749, ECO:0000269|PubMed:20633027}. Secreted, cell wall {ECO:0000269|PubMed:24830429}. Note=Although thought of as a cytoplasmic chaperone this protein is routinely found extracellularly in the absence of cell lysis. {ECO:0000305|PubMed:19470749}.; SUBCELLULAR LOCATION: [Cleaved form]: Secreted {ECO:0000269|PubMed:24830429}. Host mitochondrion {ECO:0000269|PubMed:28288970}. Note=Exits phagosomal membrane and reaches macrophage mitochondria. {ECO:0000269|PubMed:28288970}.",PF00118;,GO:0001666; GO:0005524; GO:0005576; GO:0005829; GO:0005886; GO:0006457; GO:0009274; GO:0009408; GO:0009986; GO:0016853; GO:0033650; GO:0042026; GO:0042603; GO:0044406; GO:0051082; GO:0140662; GO:1990220,3D-structure;ATP-binding;Cell wall;Chaperone;Host mitochondrion;Isomerase;Isopeptide bond;Nucleotide-binding;Reference proteome;Secreted;Ubl conjugation;Virulence
P9WPL7,Cytochrome P450 family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PF00067;,GO:0004497; GO:0005506; GO:0005886; GO:0016705; GO:0020037,3D-structure;Cell membrane;Heme;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
P9WPQ1,,,PF00364;,,Biotin;Direct protein sequencing;Reference proteome
P9WPU3,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IA subfamily",SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_00285}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00285}.,PF00122;PF00702;,GO:0000287; GO:0005524; GO:0005886; GO:0008556; GO:0016887; GO:0031004; GO:0071805; GO:1903103,ATP-binding;Cell membrane;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Potassium transport;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P9WQ27,Glycosyl hydrolase 57 family,,PF09210;PF03065;,GO:0003844; GO:0005576; GO:0005886; GO:0030979,Carbohydrate metabolism;Glycosyltransferase;Reference proteome;Transferase
P9WQ35,Adenylyl cyclase class-4/guanylyl cyclase family,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11431477, ECO:0000269|PubMed:11447108}; Multi-pass membrane protein {ECO:0000305}.",PF00211;PF20967;,GO:0000287; GO:0001653; GO:0004016; GO:0004383; GO:0005524; GO:0005886; GO:0006171; GO:0006182; GO:0007168; GO:0030145; GO:0035556,3D-structure;ATP-binding;cAMP biosynthesis;Cell membrane;Lyase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix
P9WQ59,ATP-dependent AMP-binding enzyme family,,PF00501;PF23024;,GO:0004321; GO:0005524; GO:0005829; GO:0005886; GO:0006633; GO:0008610; GO:0016874; GO:0051701; GO:0052170; GO:0070566; GO:0071770,3D-structure;ATP-binding;Fatty acid metabolism;Ligase;Lipid metabolism;Nucleotide-binding;Reference proteome
P9WQB1,AlaDH/PNT family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10527947}.,PF01262;PF05222;,GO:0000166; GO:0000286; GO:0001666; GO:0005576; GO:0005829; GO:0005886; GO:0006524; GO:0009274; GO:0042853; GO:0046872,3D-structure;Direct protein sequencing;Magnesium;Metal-binding;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome;Secreted
P9WQD1,ATP-dependent AMP-binding enzyme family,,PF16177;PF00501;PF13193;,GO:0003987; GO:0005524; GO:0005829; GO:0005886; GO:0006085; GO:0009274; GO:0016208; GO:0019427; GO:0046872,Acetylation;ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
P9WQD7,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,PF00109;PF02801;,GO:0001666; GO:0004315; GO:0005829; GO:0005886; GO:0006633; GO:0009274; GO:0030497; GO:0071768,3D-structure;Acyltransferase;Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Phosphoprotein;Reference proteome;Transferase
P9WQF3,Acyl carrier protein (ACP) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,PF00550;,GO:0000035; GO:0000036; GO:0005829; GO:0005886; GO:0006637; GO:0009245; GO:0009274,3D-structure;Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Phosphopantetheine;Phosphoprotein;Reference proteome
P9WQM5,Amino acid-polyamine-organocation (APC) superfamily,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PF13520;,GO:0005886; GO:0022857,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
P9WQN7,Mycobacterial A85 antigen family,SUBCELLULAR LOCATION: Secreted.,PF00756;,GO:0001968; GO:0005576; GO:0016747; GO:0035375,3D-structure;Acyltransferase;Reference proteome;Secreted;Signal;Transferase
P9WQN9,Mycobacterial A85 antigen family,SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,PF00756;,GO:0004144; GO:0005576; GO:0006869; GO:0009247; GO:0009274; GO:0016020; GO:0016747; GO:0035375; GO:0046677; GO:0050348; GO:0071769,3D-structure;Acyltransferase;Direct protein sequencing;Reference proteome;Secreted;Signal;Transferase
P9WQP1,Mycobacterial A85 antigen family,SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,PF00756;,GO:0001968; GO:0004144; GO:0005576; GO:0005886; GO:0009274; GO:0010756; GO:0016747; GO:0035375; GO:0040009; GO:0046677; GO:0050348; GO:0052572,3D-structure;Acyltransferase;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal;Transferase
P9WQP3,Mycobacterial A85 antigen family,"SUBCELLULAR LOCATION: Secreted, cell wall. Cytoplasm.",PF00756;,GO:0004144; GO:0005576; GO:0005737; GO:0005886; GO:0009274; GO:0016747; GO:0035375; GO:0050348,3D-structure;Acyltransferase;Cell wall;Cytoplasm;Direct protein sequencing;Disulfide bond;Reference proteome;Secreted;Signal;Transferase
Q06282,Glycerophosphoryl diester phosphodiesterase family,SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor.,PF03009;,GO:0006071; GO:0006629; GO:0008889; GO:0009279; GO:0042597; GO:0046872,3D-structure;Calcium;Cell outer membrane;Glycerol metabolism;Hydrolase;Lipoprotein;Membrane;Metal-binding;Palmitate;Reference proteome;Signal
Q06579,Colicins ColE2/ColE8/ColE9 and pyocins S1/S2 family,,PF01320;,GO:0015643; GO:0030153,3D-structure;Bacteriocin immunity;Direct protein sequencing;Reference proteome
Q08860,Bacterial flagellin family,SUBCELLULAR LOCATION: Secreted. Bacterial flagellum.,PF00700;PF00669;PF12445;,GO:0005198; GO:0005576; GO:0009288,Bacterial flagellum;Reference proteome;Secreted
Q0P8M9,,,PF13098;,,Reference proteome;Signal
Q0P9X9,"Binding-protein-dependent transport system permease family, HisMQ subfamily",SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.,PF00528;,GO:0006865; GO:0022857; GO:0043190,Amino-acid transport;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q0PAK5,,,PF00005;,GO:0005524; GO:0016887; GO:0043190; GO:0055085,ATP-binding;Nucleotide-binding;Reference proteome;Transport
Q0PBH5,"Peroxiredoxin family, AhpC/Prx1 subfamily",,PF10417;PF00578;,GO:0005829; GO:0006979; GO:0008379; GO:0016787; GO:0033554; GO:0042744; GO:0045454,Disulfide bond;Hydrolase;Oxidoreductase;Peroxidase;Redox-active center;Reference proteome
Q0PC24,Pal lipoprotein family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|HAMAP-Rule:MF_02204}; Lipid-anchor {ECO:0000256|HAMAP-Rule:MF_02204}.,PF00691;,GO:0009279; GO:0051301,Cell cycle;Cell division;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
Q2FUX4,Peptidase M4 family,SUBCELLULAR LOCATION: Secreted {ECO:0000256|RuleBase:RU366073}.,PF07504;PF03413;PF01447;PF02868;,GO:0004222; GO:0005576; GO:0006508; GO:0046872,Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal;Zinc;Zymogen
